UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
WO,World Airways Inc.,WO,World Airways Inc.,2013,3,44245,122437,202565,152469,13916,60292
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2005,3,21428,,39309,25505,18621,
X9,Omni Air International LLC,X9,Omni Air Express,2003,2,22283.36,4793.07,31189.2,12018.06,,
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1990,4,13896.32,1850.14,18830.66,8439.13,,785.27
RIQ,Rich International Airways,RIQ,Rich International Airways,1995,1,7893.92,13946.13,16232.56,12896.45,,
JI (1),Midway Airlines Inc.,JI,Midway Airlines Inc.,2002,3,15058,4911,22997,11983,366044,2635
WO,World Airways Inc.,WO,World Airways Inc.,2011,3,98778.1,195437.19,420002.05,215536.2,28728.56,94663.33
F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,1997,4,17609.22,4725.75,46793.37,48170.37,2451.97,163.89
0WQ,Avjet Corporation,0WQ,Avjet Corporation,2015,4,19824.82,21437.44,36778.98,12273.5,19750.49,904.75
M6,Amerijet International,M6,Amerijet International,2001,4,15792.27,,21081.9,8231.93,7202.43,
TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,2000,4,313720.84,951519.27,1050578.76,494129.6,361208.82,98779.49
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1994,3,18939.79,4386.82,24155.86,25571.11,,
NC,Northern Air Cargo Inc.,HU,Northern Air Cargo Inc.,1993,1,8519.74,4001.73,10001.46,1225,,
SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,1994,2,56958.12,150872.09,121409.12,10772.44,31341.44,
9S,Southern Air Inc.,9S,Southern Air Inc.,2008,1,14557,193360,529856,46728,262250,90
U5,USA 3000 Airlines,U5,USA 3000 Airlines,2008,1,32680.42,18663.25,47327.78,50369.12,1208,1338.28
HQ (1),Business Express,HQ,Business Express,1992,3,16970,30100,82135,24683,28559,36292
JKQ,Express One International Inc.,JKQ,Express One International Inc.,1999,3,21784.4,100340.55,81170.05,26303.13,27751.87,7330.62
PT (1),Capital Cargo International,CCQ,Capital Cargo International,2003,1,13330,47368,60604,9126,22572,
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,2007,4,18717,,19193,21755,,
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2015,2,16162,24064.41,32891.56,5818.08,930.44,
PT (1),Capital Cargo International,CCQ,Capital Cargo International,2003,2,15193,47240,60061,6838,23294,
SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines,2003,4,27599.36,1135.28,35571.28,31425.21,462.46,
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2011,1,326275.18,3644574.81,2891731.96,439928.19,1846730.01,243473.37
FF,Tower Air Inc.,FF,Tower Air Inc.,1996,4,42653,321240,263254,126849,67716,15373
TCQ,Express.Net Airlines,TCQ,Express.Net Airlines,2005,3,7245,10526,14828,5309,,
M6,Amerijet International,M6,Amerijet International,2009,2,39975.46,5282.03,54209.08,38330.48,3908.11,
DH,Independence Air,DH,Independence Air,2004,4,382320.75,238309.5,722046.8,453267.45,172303.05,81517.78
KW,Carnival Air Lines Inc.,KW,Carnival Air Lines Inc.,1996,3,24133.25,52249.04,65320.51,46447.28,17118.69,4258.91
FF,Tower Air Inc.,FF,Tower Air Inc.,1998,2,40564,431697,306838,196605,54488,12610
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2005,1,26505.02,11877.6,41407.93,12589.96,15499.98,
NK,Spirit Air Lines,NK,Spirit Air Lines,2002,3,68525.69,149349.4,194557.54,145883.54,70542.87,981.3
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3Z,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2007,3,9668.79,9419.15,18585.57,4217.24,2046.74,
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2008,3,385115.41,3109411,3638249.45,411703.32,3069796.07,-102752.14
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2007,2,7482.6,65854.13,51192.53,21156.56,16973.46,130.27
CS,Continental Micronesia,CS,Continental Micronesia,2004,3,17727,,412318,34222,8641,100440
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2009,1,4194.91,2432.53,6032.68,895.1,,
X9,Omni Air International LLC,X9,Omni Air Express,2002,1,16370.35,,24560.3,7996.45,,2149.96
ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,2011,4,58929.74,846790.75,707893.79,110071.68,344906.35,237555.89
ZKQ,Zantop International,ZKQ,Zantop International,1992,4,26002.4,66941.16,69142.4,6069.2,2366.93,5750
M6,Amerijet International,M6,Amerijet International,2008,1,39107.97,6290.57,52082.77,38329.79,6871.1,
8C,Air Transport International,8C,Air Transport International,1996,2,24032,7516.45,83197.93,12156.6,73336.72,
M6,Amerijet International,M6,Amerijet International,2004,3,25586.2,4734.12,36507.47,22485.96,9976.81,
L3,Lynx Aviation d/b/a Frontier Airlines,L4,Lynx Aviation d/b/a Frontier Airlines,2008,3,-32207.04,100030.21,72960.21,2415.14,79812.61,90.08
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2011,2,381675.42,3699016.49,2971932.92,453283.12,1909626.72,241417.45
TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,2000,3,282305.85,228405.68,785957.5,153996.35,457970.38,193670.09
NW,Northwest Airlines Inc.,NW,Northwest Airlines Inc.,1990,3,1089722,3735192,6755361,1767481,1792849,660648
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1998,3,78552.98,43990.23,206464.27,71525.08,39879.73,
ZKQ,Zantop International,ZKQ,Zantop International,1994,3,25697.88,61989.49,67921.13,6416.2,1635,4822
M6,Amerijet International,M6,Amerijet International,2002,4,14288.53,,19427.15,11530.63,7515.3,
9S,Southern Air Inc.,9S,Southern Air Inc.,2002,3,6627,,12966,15510,4749,
9S,Southern Air Inc.,9S,Southern Air Inc.,2003,2,7584,,15675,22526,4747,
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,2014,4,3169,0,3424,744,0,0
TZ,ATA Airlines d/b/a ATA,TZ,ATA Airlines d/b/a ATA,2003,4,337538.35,310174.97,827253.65,413779.6,443050.17,103159.77
M6,Amerijet International,M6,Amerijet International,2000,3,19129.93,92497.12,93892.85,22785.77,51887.51,
ZKQ,Zantop International,ZKQ,Zantop International,1994,1,27250.46,66290.88,65661.08,7900.32,1655,4822
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2014,2,43167.13,14334.81,67558.58,47394.46,3928.57,4463.13
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2004,2,15487.07,6886.35,22696.36,7473.97,18006.38,
TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,1996,2,18753.67,314308.29,237378.57,26144.47,116001.2,76463.42
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,2015,4,3116,0,4332,3611,916,0
FCQ,Falcon Air Express,FCQ,Falcon Air Express,2002,1,9711.53,4728.67,12558.36,16850.25,1549.93,
M6,Amerijet International,M6,Amerijet International,1999,2,16407.61,63684,79100.16,22733.46,30664.83,
NK,Spirit Air Lines,NK,Spirit Air Lines,1996,2,9966.96,10322.28,21647.02,12769.34,1948.8,
FF,Tower Air Inc.,FF,Tower Air Inc.,1999,1,49076,535720,385455,200251,116384,19408
NA,North American Airlines,XG,North American Airlines,1994,1,3804.82,750.87,5249.05,3302.15,,361.46
M6,Amerijet International,M6,Amerijet International,2007,4,39694.83,6290.57,52718.95,34941.01,9976.67,
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3Z,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2011,3,15263.37,20517.18,30094.45,4702.84,2626.16,
YX,Republic Airlines,YX,Republic Airlines,2016,2,207088.8,2746550.28,2479185.68,466060.74,1503531.78,258624.11
GL,Miami Air International,GL,Miami Air International,2006,2,13579.52,3947.62,20809.54,13379.56,2043.43,375
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,3Z,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2012,1,10514.18,21463.26,25787.69,3817.83,1907.83,
TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,2002,4,415265.29,299861.45,813225.94,378090.54,486853.25,94185.5
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2000,4,45714.96,212810.97,202002.41,88748.34,199401.24,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,1997,4,28815.32,639465.29,492495.58,79506.37,292282.91,43275.61
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1994,4,18271.04,4443.06,22731.94,19412.14,,
